X1	X2
ConSciR	Tools for Conservation Science
consortr	Interactive Consort Flow Diagrams
contextFind	Find Code Snippets with Context and Click to Navigate Directly to Results
convdistr	Convolute Probabilistic Distributions
convertr	Convert Between Units
cookies	Use Browser Cookies with 'shiny'
corazon	Apply 'colorffy' Color Gradients Within 'shiny' Elements
corporaexplorer	A 'Shiny' App for Exploration of Text Collections
corrViz	Visualise Correlations
cosinor	Tools for Estimating and Predicting the Cosinor Model
countdown	A Countdown Timer for HTML Presentations, Documents, and Web Apps
countfitteR	Comprehensive Automatized Evaluation of Distribution Models for Count Data
couplr	Optimal Pairing and Matching via Linear Assignment
courieR	Migrate Installed R Packages Between R Versions
coveffectsplot	Produce Forest Plots to Visualize Covariate Effects
covid19.analytics	Load and Analyze Live Data from the COVID-19 Pandemic
cpam	Changepoint Additive Models for Time Series Omics Data
cppcheckR	Check 'C' and 'C++' Files using 'Cppcheck'
CRANsearcher	RStudio Addin for Searching Packages in CRAN Database Based on Keywords
crispRdesignR	Guide Sequence Design for CRISPR/Cas9
cromwellDashboard	A Dashboard to Visualize Scientific Workflows in 'Cromwell'
cronologia	Create an HTML Vertical Timeline from a Data Frame in 'rmarkdown' and 'shiny'
crosstalk	Inter-Widget Interactivity for HTML Widgets
ctrdata	Retrieve and Analyze Clinical Trials Data from Public Registers
CTShiny	Interactive Document for Working with Classification Tree Analysis
CTShiny2	Interactive Document for Working with Classification Tree Analysis
CTTShiny	Classical Test Theory via Shiny
cubeview	View 3D Raster Cubes Interactively
D3partitionR	Interactive Charts of Nested and Hierarchical Data with 'D3.js'
d3r	'd3.js' Utilities for R
d3Tree	Create Interactive Collapsible Trees with the JavaScript 'D3' Library
damAOI	Create an 'Area of Interest' Around a Constructed Dam for Comparative Impact Evaluations
daqapo	Data Quality Assessment for Process-Oriented Data
dartR	Importing and Analysing 'SNP' and 'Silicodart' Data Generated by Genome-Wide Restriction Fragment Analysis
dartR.sim	Computer Simulations of 'SNP' Data
dashboardthemes	Customise the Appearance of 'shinydashboard' Applications using Themes
data.validator	Automatic Data Validation and Reporting
data4health	A Practical Workflow for Health Data Wrangling
datacleanr	Interactive and Reproducible Data Cleaning
dataCompare	A 'shiny' App to Compare Two Data Frames
DataCraftR	Create Datasets Interactively Using 'shiny'
DataDNA	Data Frame Fingerprints and Lineage Figures
DataEditR	An Interactive Editor for Viewing, Entering, Filtering & Editing Data
DataExplorer	Automate Data Exploration and Treatment
dataMaid	A Suite of Checks for Identification of Potential Errors in a Data Frame as Part of the Data Screening Process
DataMetProcess	Meteorological Data Processing
datamods	Modules to Import and Manipulate Data in 'Shiny'
dataReporter	Reproducible Data Screening Checks and Report of Possible Errors
datasets.load	Graphical Interface for Loading Datasets
datasetviewer	'SAS Studio'-Style Interactive Dataset Viewer
dataspice	Create Lightweight Schema.org Descriptions of Data
dataviewR	An Interactive and Feature-Rich Data Viewer
daterangepicker	Create a Shiny Date-Range Input
DateTimeRangePicker	A Datetime Range Picker Widget for Usage in 'Shiny' Applications
DCEtool	Efficient and Accessible Discrete Choice Experiments
Dcurvature	Discrete Curvature with 'shiny' Explorer
ddpcr	Analysis and Visualization of Droplet Digital PCR in R and on the Web
ddsPLS	Data-Driven Sparse Partial Least Squares
deBif	Bifurcation Analysis of Ordinary Differential Equation Systems
deckgl	An R Interface to 'deck.gl'
deckglgeoarrow	Use 'GeoArrow' to Add 'Deck.gl' Layers to a 'maplibregl'/'mapboxgl' Map
deckroadmap	Roadmap Footers for 'Reveal.js' Slides in 'Quarto' and 'R Markdown'
DegreeDayCalc	Degree-Day Phenology Calculator ('shiny' Application)
deliberr	Methods for Deliberation Analysis
DeltaMAN	Delta Measurement of Agreement for Nominal Data
DEploid	Deconvolute Mixed Genomes with Unknown Proportions
DepMod	Decision-Analytic Modelling for Depression Prevention and Treatment
desctable	Produce Descriptive and Comparative Tables Easily
deseats	Data-Driven Locally Weighted Regression for Trend and Seasonality in TS
designer	'Shiny' UI Prototype Builder
details	Create Details HTML Tag for Markdown and Package Documentation
detectXOR	XOR Pattern Detection and Visualization
